DeSO.1,Kon,UtlBakgrund,values,Year
0580C1140,Totalt,Utländsk,125,2019
0580C1150,Kvinnor,Svensk,731,2019
0580C1150,Kvinnor,Utländsk,214,2019
0580C1150,Män,Svensk,657,2019
0580C1150,Män,Utländsk,196,2019
0580C1150,Totalt,Svensk,1388,2019
0580C1150,Totalt,Utländsk,410,2019
0580C1160,Kvinnor,Svensk,550,2019
0580C1160,Kvinnor,Utländsk,345,2019
0580C1160,Män,Svensk,579,2019
0580C1160,Män,Utländsk,345,2019
0580C1160,Totalt,Svensk,1129,2019
0580C1160,Totalt,Utländsk,690,2019
0580C1170,Kvinnor,Svensk,548,2019
0580C1170,Kvinnor,Utländsk,351,2019
0580C1170,Män,Svensk,579,2019
0580C1170,Män,Utländsk,360,2019
0580C1170,Totalt,Svensk,1127,2019
0580C1170,Totalt,Utländsk,711,2019
0580C1180,Kvinnor,Svensk,645,2019
0580C1180,Kvinnor,Utländsk,102,2019
0580C1180,Män,Svensk,613,2019
0580C1180,Män,Utländsk,116,2019
0580C1180,Totalt,Svensk,1258,2019
0580C1180,Totalt,Utländsk,218,2019
0580C1190,Kvinnor,Svensk,883,2019
0580C1190,Kvinnor,Utländsk,516,2019
0580C1190,Män,Svensk,1074,2019
0580C1190,Män,Utländsk,520,2019
0580C1190,Totalt,Svensk,1957,2019
0580C1190,Totalt,Utländsk,1036,2019
0580C1200,Kvinnor,Svensk,725,2019
0580C1200,Kvinnor,Utländsk,75,2019
0580C1200,Män,Svensk,734,2019
0580C1200,Män,Utländsk,68,2019
0580C1200,Totalt,Svensk,1459,2019
0580C1200,Totalt,Utländsk,143,2019
0580C1210,Kvinnor,Svensk,627,2019
0580C1210,Kvinnor,Utländsk,155,2019
0580C1210,Män,Svensk,640,2019
0580C1210,Män,Utländsk,173,2019
0580C1210,Totalt,Svensk,1267,2019
0580C1210,Totalt,Utländsk,328,2019
0580C1220,Kvinnor,Svensk,267,2019
0580C1220,Kvinnor,Utländsk,510,2019
0580C1220,Män,Svensk,266,2019
0580C1220,Män,Utländsk,531,2019
0580C1220,Totalt,Svensk,533,2019
0580C1220,Totalt,Utländsk,1041,2019
0580C1230,Kvinnor,Svensk,1248,2019
0580C1230,Kvinnor,Utländsk,263,2019
0580C1230,Män,Svensk,1216,2019
0580C1230,Män,Utländsk,268,2019
0580C1230,Totalt,Svensk,2464,2019
0580C1230,Totalt,Utländsk,531,2019
0580C1240,Kvinnor,Svensk,665,2019
0580C1240,Kvinnor,Utländsk,114,2019
0580C1240,Män,Svensk,663,2019
0580C1240,Män,Utländsk,119,2019
0580C1240,Totalt,Svensk,1328,2019
0580C1240,Totalt,Utländsk,233,2019
0580C1250,Kvinnor,Svensk,302,2019
0580C1250,Kvinnor,Utländsk,715,2019
0580C1250,Män,Svensk,359,2019
0580C1250,Män,Utländsk,705,2019
0580C1250,Totalt,Svensk,661,2019
0580C1250,Totalt,Utländsk,1420,2019
0580C1260,Kvinnor,Svensk,419,2019
0580C1260,Kvinnor,Utländsk,247,2019
0580C1260,Män,Svensk,461,2019
0580C1260,Män,Utländsk,313,2019
0580C1260,Totalt,Svensk,880,2019
0580C1260,Totalt,Utländsk,560,2019
0580C1270,Kvinnor,Svensk,601,2019
0580C1270,Kvinnor,Utländsk,117,2019
0580C1270,Män,Svensk,576,2019
0580C1270,Män,Utländsk,104,2019
0580C1270,Totalt,Svensk,1177,2019
0580C1270,Totalt,Utländsk,221,2019
0580C1280,Kvinnor,Svensk,558,2019
0580C1280,Kvinnor,Utländsk,122,2019
0580C1280,Män,Svensk,528,2019
0580C1280,Män,Utländsk,127,2019
0580C1280,Totalt,Svensk,1086,2019
0580C1280,Totalt,Utländsk,249,2019
0580C1290,Kvinnor,Svensk,778,2019
0580C1290,Kvinnor,Utländsk,185,2019
0580C1290,Män,Svensk,785,2019
0580C1290,Män,Utländsk,186,2019
0580C1290,Totalt,Svensk,1563,2019
0580C1290,Totalt,Utländsk,371,2019
0580C1300,Kvinnor,Svensk,697,2019
0580C1300,Kvinnor,Utländsk,205,2019
0580C1300,Män,Svensk,644,2019
0580C1300,Män,Utländsk,231,2019
0580C1300,Totalt,Svensk,1341,2019
0580C1300,Totalt,Utländsk,436,2019
0580C1310,Kvinnor,Svensk,1334,2019
0580C1310,Kvinnor,Utländsk,294,2019
