DeSO.1,Kon,UtlBakgrund,values,Year
0120C1060,Kvinnor,Utländsk,124,2019
0120C1060,Män,Svensk,919,2019
0120C1060,Män,Utländsk,143,2019
0120C1060,Totalt,Svensk,1773,2019
0120C1060,Totalt,Utländsk,267,2019
0120C1070,Kvinnor,Svensk,341,2019
0120C1070,Kvinnor,Utländsk,59,2019
0120C1070,Män,Svensk,401,2019
0120C1070,Män,Utländsk,41,2019
0120C1070,Totalt,Svensk,742,2019
0120C1070,Totalt,Utländsk,100,2019
0120C1080,Kvinnor,Svensk,767,2019
0120C1080,Kvinnor,Utländsk,211,2019
0120C1080,Män,Svensk,676,2019
0120C1080,Män,Utländsk,162,2019
0120C1080,Totalt,Svensk,1443,2019
0120C1080,Totalt,Utländsk,373,2019
0120C1090,Kvinnor,Svensk,948,2019
0120C1090,Kvinnor,Utländsk,113,2019
0120C1090,Män,Svensk,924,2019
0120C1090,Män,Utländsk,92,2019
0120C1090,Totalt,Svensk,1872,2019
0120C1090,Totalt,Utländsk,205,2019
0120C1100,Kvinnor,Svensk,1201,2019
0120C1100,Kvinnor,Utländsk,171,2019
0120C1100,Män,Svensk,1157,2019
0120C1100,Män,Utländsk,207,2019
0120C1100,Totalt,Svensk,2358,2019
0120C1100,Totalt,Utländsk,378,2019
0120C1110,Kvinnor,Svensk,1278,2019
0120C1110,Kvinnor,Utländsk,315,2019
0120C1110,Män,Svensk,1168,2019
0120C1110,Män,Utländsk,301,2019
0120C1110,Totalt,Svensk,2446,2019
0120C1110,Totalt,Utländsk,616,2019
0120C1120,Kvinnor,Svensk,824,2019
0120C1120,Kvinnor,Utländsk,184,2019
0120C1120,Män,Svensk,751,2019
0120C1120,Män,Utländsk,176,2019
0120C1120,Totalt,Svensk,1575,2019
0120C1120,Totalt,Utländsk,360,2019
0120C1130,Kvinnor,Svensk,750,2019
0120C1130,Kvinnor,Utländsk,188,2019
0120C1130,Män,Svensk,680,2019
0120C1130,Män,Utländsk,194,2019
0120C1130,Totalt,Svensk,1430,2019
0120C1130,Totalt,Utländsk,382,2019
0120C1140,Kvinnor,Svensk,992,2019
0120C1140,Kvinnor,Utländsk,278,2019
0120C1140,Män,Svensk,878,2019
0120C1140,Män,Utländsk,245,2019
0120C1140,Totalt,Svensk,1870,2019
0120C1140,Totalt,Utländsk,523,2019
0120C1150,Kvinnor,Svensk,589,2019
0120C1150,Kvinnor,Utländsk,135,2019
0120C1150,Män,Svensk,705,2019
0120C1150,Män,Utländsk,138,2019
0120C1150,Totalt,Svensk,1294,2019
0120C1150,Totalt,Utländsk,273,2019
0120C1160,Kvinnor,Svensk,693,2019
0120C1160,Kvinnor,Utländsk,102,2019
0120C1160,Män,Svensk,802,2019
0120C1160,Män,Utländsk,114,2019
0120C1160,Totalt,Svensk,1495,2019
0120C1160,Totalt,Utländsk,216,2019
0120C1170,Kvinnor,Svensk,588,2019
0120C1170,Kvinnor,Utländsk,131,2019
0120C1170,Män,Svensk,549,2019
0120C1170,Män,Utländsk,118,2019
0120C1170,Totalt,Svensk,1137,2019
0120C1170,Totalt,Utländsk,249,2019
0120C1180,Kvinnor,Svensk,581,2019
0120C1180,Kvinnor,Utländsk,379,2019
0120C1180,Män,Svensk,593,2019
0120C1180,Män,Utländsk,359,2019
0120C1180,Totalt,Svensk,1174,2019
0120C1180,Totalt,Utländsk,738,2019
0120C1190,Kvinnor,Svensk,808,2019
0120C1190,Kvinnor,Utländsk,285,2019
0120C1190,Män,Svensk,779,2019
0120C1190,Män,Utländsk,250,2019
0120C1190,Totalt,Svensk,1587,2019
0120C1190,Totalt,Utländsk,535,2019
0120C1200,Kvinnor,Svensk,590,2019
0120C1200,Kvinnor,Utländsk,114,2019
0120C1200,Män,Svensk,705,2019
0120C1200,Män,Utländsk,122,2019
0120C1200,Totalt,Svensk,1295,2019
0120C1200,Totalt,Utländsk,236,2019
0120C1210,Kvinnor,Svensk,820,2019
0120C1210,Kvinnor,Utländsk,148,2019
0120C1210,Män,Svensk,914,2019
0120C1210,Män,Utländsk,157,2019
0120C1210,Totalt,Svensk,1734,2019
0120C1210,Totalt,Utländsk,305,2019
0120C1220,Kvinnor,Svensk,541,2019
0120C1220,Kvinnor,Utländsk,88,2019
0120C1220,Män,Svensk,581,2019
0120C1220,Män,Utländsk,71,2019
